"year","valid_species_totals","available_name_totals","species_per_year","percent_species_per_year","smoothed_10_year_percent_species","lumps_per_year","percent_lumps_per_year","smoothed_10_year_percent_lumps","splits_per_year","percent_splits_per_year","smoothed_10_year_percent_splits","subspecies_per_year","percent_subspecies_per_year","smoothed_10_year_percent_subspecies"
1825,24,123,120,97.5609756097561,95.2363920910666,88,71.5447154471545,66.4439196917217,0,0,0,3,2.4390243902439,4.76360790893342
1826,10,68,65,95.5882352941177,95.401276226539,53,77.9411764705882,66.9653100660533,0,0,0,1,1.47058823529412,4.30460612640223
1827,25,206,180,87.378640776699,94.1391403042089,146,70.873786407767,67.2749109290522,0,0,0,26,12.621359223301,5.56674204873233
1828,20,82,81,98.780487804878,94.0171890846967,59,71.9512195121951,67.9394206353738,0,0,0,1,1.21951219512195,5.68869326824452
1829,25,164,110,67.0731707317073,90.7245061578674,84,51.219512195122,64.9132237067378,2,1.21951219512195,0.121951219512195,54,32.9268292682927,8.98137619507379
1830,25,86,82,95.3488372093023,91.1289550961889,52,60.4651162790698,64.5829237404419,0,0,0.121951219512195,4,4.65116279069767,8.57692725675225
1831,21,82,78,95.1219512195122,90.9132590616776,57,69.5121951219512,65.0715582186234,0,0,0.121951219512195,4,4.8780487804878,8.79262329126362
1832,24,113,110,97.3451327433628,93.1277723360138,79,69.9115044247788,66.9427086611013,0,0,0.121951219512195,3,2.65486725663717,6.57811001692734
1833,22,81,78,96.2962962962963,93.0493727685632,55,67.9012345679012,67.7474306580374,0,0,0.121951219512195,3,3.7037037037037,6.656509584378
1834,29,90,86,95.5555555555556,92.6049283241187,56,62.2222222222222,67.354268264875,0,0,0.121951219512195,4,4.44444444444444,7.10095402882244
1835,26,78,77,98.7179487179487,92.720625634938,48,61.5384615384615,66.3536428740057,0,0,0.121951219512195,1,1.28205128205128,6.98525671800318
1836,34,123,115,93.4959349593496,92.5113956014612,80,65.0406504065041,65.0635902675973,1,0.813008130081301,0.203252032520325,8,6.50406504065041,7.48860439853881
1837,54,168,167,99.4047619047619,93.7140077142675,108,64.2857142857143,64.404783055392,0,0,0.203252032520325,1,0.595238095238095,6.28599228573252
1838,60,168,165,98.2142857142857,93.6573875052082,97,57.7380952380952,62.983470627982,0,0,0.203252032520325,3,1.78571428571429,6.34261249479176
1839,43,132,126,95.4545454545455,96.4955249774921,78,59.0909090909091,63.7706103175607,1,0.757575757575758,0.157058388765706,6,4.54545454545455,3.50447502250794
1840,54,196,191,97.4489795918367,96.7055392157455,133,67.8571428571429,64.509812975368,3,1.53061224489796,0.310119613255502,5,2.55102040816327,3.2944607842545
1841,47,187,177,94.6524064171123,96.6585847355055,128,68.4491978609626,64.4035132492692,0,0,0.310119613255502,9,4.81283422459893,3.28793932866561
1842,74,287,280,97.5609756097561,96.6801690221448,200,69.6864111498258,64.3810039217739,1,0.348432055749129,0.344962818830415,7,2.4390243902439,3.26635504202629
1843,40,152,140,92.1052631578947,96.2610657083047,96,63.1578947368421,63.906669938668,0,0,0.344962818830415,12,7.89473684210526,3.68545835586644
1844,40,146,134,91.7808219178082,95.8835923445299,92,63.013698630137,63.9858175794595,1,0.684931506849315,0.413455969515346,12,8.21917808219178,4.06293171964118
1845,35,154,133,86.3636363636364,94.6481611090987,90,58.4415584415584,63.6761272697691,0,0,0.413455969515346,20,12.987012987013,5.23342789013735
1846,18,82,62,75.609756097561,92.8595432229199,43,52.4390243902439,62.4159646681431,0,0,0.332155156507216,19,23.1707317073171,6.90009455680401
1847,32,158,139,87.9746835443038,91.716535386874,104,65.8227848101266,62.5696717205844,0,0,0.332155156507216,19,12.0253164556962,8.04310239284982
1848,14,52,52,100,91.8951068154455,38,73.0769230769231,64.1035545044671,0,0,0.332155156507216,0,0,7.8645309642784
