"museum_label","museum_name","museum_country","museum_subregion","museum_city","museum_city_latitude","museum_city_longitude","total_type_specimens","holotype_count","syntype_count","lectotype_count","neotype_count","nonexistent_count"
"SZM","Siberian Zoological Museum","Russia","NA","Novosibirsk","55.04","82.93",23,23,0,0,0,0
"TA","Takasato Archive, Yama county","Japan","NA","Fukushima","37.75","140.47",NA,NA,NA,NA,NA,NA
"Tahiri collection","Collection of Brahim Tahiri","Morocco","NA","Erfoud","NA","NA",NA,NA,NA,NA,NA,NA
"TATE","Tate Museum","United States","Wyoming","Casper","42.83","-106.33",NA,NA,NA,NA,NA,NA
"TAU","Tel Aviv University","Israel","NA","Tel Aviv","NA","NA",3,3,0,0,0,0
"Tautavel","Musée de Tautavel","France","NA","Tautavel","NA","NA",2,2,0,0,0,0
"Taylor collection","Collection of E.H. Taylor","United States","NA","NA","NA","NA",1,1,0,0,0,0
"TBRP","Tanzanian-Belgian Rodent Project","Belgium","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"TCMI","The Children's Museum of Indianapolis","United States","Indiana","Indianapolis","39.78","-86.15",NA,NA,NA,NA,NA,NA
"TCWC","Biodiversity Research and Teaching Collections","United States","Texas","College Station","30.6","-96.31",46,45,0,0,1,0
"Tehran","University of Tehran","Iran","NA","Tehran","35.67","51.43",1,1,0,0,0,0
"TGIP","Three Gorges Institute of Paleoanthropology, China Three Gorges Museum","China","NA","Chongqing","29.57","106.58",NA,NA,NA,NA,NA,NA
"TGU","Tokyo Gakugei University","Japan","NA","Tokyo","35.67","139.77000000000001",NA,NA,NA,NA,NA,NA
"THNHM","Natural History Museum, National Science Museum","Thailand","NA","Pathum Thani","14.02","100.52",NA,NA,NA,NA,NA,NA
"THUg","Teikyo Heisei University","Japan","NA","Ichihara","35.53","140.09",NA,NA,NA,NA,NA,NA
"THUMB","Department of Biology, Tunghai University","Taiwan","NA","NA","NA","NA",1,1,0,0,0,0
"TiHo","Stiftung Tierärztliche Hochschule Hannover","Germany","Lower Saxony","Hannover","NA","NA",4,4,0,0,0,0
"TISTR","Thailand Institute for Scientific and Technological Research","Thailand","NA","Bangkok","13.73","100.5",1,1,0,0,0,0
