"year","valid_species_totals","available_name_totals","smoothed_10_year_percent_species","smoothed_10_year_percent_lumps","smoothed_10_year_percent_splits","smoothed_10_year_percent_subspecies"
1895,79,193,34.6546437215444,48.8354404982133,3.13036303304593,18.7182972376114
1896,45,194,33.4325646837437,50.0381896391068,2.868335541637,18.5808401929379
1897,89,311,33.1482336024185,49.163158026693,3.14182808110735,20.0136954261472
1898,96,366,32.056898707805,47.0702618518296,3.06415438867956,23.2631099460535
1899,54,281,31.0328704587498,46.9234991825146,2.84814842989449,24.4504530451735
1900,76,403,28.8776306477433,47.9503865682177,2.68532848360128,25.3415438368387
1901,81,373,27.715879083847,48.2435054243393,2.78869458428641,26.4246537564098
1902,77,392,26.2655306517912,47.8888513675946,2.93221540724975,28.4289676771
1903,67,370,24.3522035315676,49.2234273228602,2.75234588255264,28.7467682362799
1904,71,361,23.6185405934094,47.5067939673195,2.85929212891471,31.2631023760931
1905,61,329,21.3793796881698,47.6633367961146,2.386041424157,32.9153064172289
1906,73,369,21.0381118425016,48.0324033733783,2.61080604293721,33.188264816916
1907,62,362,19.8890826904169,47.9837277413945,2.47357273743545,34.2211119860904
1908,51,330,18.8115864161993,48.6220784617124,2.5187788973957,34.7054636999504
1909,55,314,18.6414705878338,47.701344957621,2.5244456471747,35.8019797821862
1910,71,442,18.3619493500583,46.9087599335369,2.45730216447145,36.8135109455201
1911,68,440,17.7358221260759,46.471701683476,2.42464313449338,37.6849464804945
1912,85,400,17.8965364117902,44.5165996426597,2.44352068551379,39.5237219906985
1913,57,529,17.1632303268773,42.5699384256771,2.62443316699338,42.4656828551547
1914,49,486,16.2047017767821,42.7334645248757,2.47008368054171,43.0248292591764
1915,43,294,15.8131834673306,42.9085984082163,2.50626836718232,43.2701614345998
1916,58,343,15.5258257832582,42.1433910476879,2.41840976264875,44.2328136267194
1917,36,228,15.3920659693588,41.81044542396,2.3890892237324,44.6978228348225
1918,24,199,15.052641574658,41.3353426372995,2.40827606703985,45.4812856032099
1919,18,193,14.2336917050167,41.0693448154454,2.30893941148393,46.4668966391493
1920,35,153,14.9149385627342,40.5163030859331,2.25866289061917,46.3562882932468
1921,57,287,15.3555467350497,39.3036803428225,2.32074714782538,47.3146348247641
1922,38,250,14.7505467350497,39.6436803428225,2.39574714782538,47.6546348247641
1923,40,260,15.2115035476133,38.8512563207199,2.68780763931876,48.1627779104119
1924,32,240,15.5366064282717,37.9618530285388,2.73204632244633,48.8942593918934
1925,33,177,15.9384281739191,37.3599851627484,2.90038484429575,49.3306712447701
1926,30,243,15.4820339760283,36.1830064347493,2.93805776178726,51.030871607102
1927,15,142,14.9594246357763,34.1741109566173,3.14129472744083,53.7656133911396
1928,27,180,15.2533944850225,31.77042586449,3.60695636898187,56.3912415318431
1929,25,183,15.6868722165551,29.6358807188177,3.67009518944678,58.1554477664477
1930,8,125,14.0392905172087,28.8050310456151,3.85937623519841,60.8231601847484
1931,32,213,13.5555752172791,27.6076025723364,4.08495736424914,62.7177799357748
1932,43,301,13.4641466458505,25.6619547318049,3.95073809514615,64.5874144872699
1933,22,197,13.0424363764245,24.2693346615198,3.95835230834412,66.3724593916041
1934,18,202,12.6001921520021,23.2911993479885,4.00538201131442,67.8815352991949
1935,20,207,11.7019689472203,21.0763463225238,3.88338086499492,70.8243012043779
1936,32,230,11.8587053938118,19.9394703160826,4.16285841017295,72.040440048536
1937,17,191,11.6924197216637,19.2024302747877,4.05445932455979,72.730654634481
1938,16,159,11.1987090298398,18.9823044886242,3.63936498493715,72.9665036910848
1939,25,202,11.0702125736368,18.4661545129708,3.71781545293477,73.6896005909387
1940,22,215,11.4534683875903,16.6689452106453,4.09548987153942,75.4347168700085
1941,21,163,11.2394645280321,15.7832630193379,4.17815354272811,76.4186161758641
1942,8,139,10.386432667806,16.5349540253371,4.05625770391743,76.4312837826424
1943,18,89,11.2921533088829,15.9651713298486,4.11044124352845,76.3018136406245
1944,5,71,11.1052895520846,15.393424014272,4.37679182224829,77.3267752917192
1945,10,85,11.3155765654407,15.6395166542265,4.69620074523778,77.2381137401421
1946,5,120,10.3409388842813,14.8967630310381,4.25417175973053,78.2236209865189
1947,8,59,10.8068187316502,14.8639295941759,4.27901868492354,77.92013354309
1948,7,82,10.6541879600594,14.0271448112337,4.3933000164161,79.0867235108765
1949,9,97,10.3443992492296,13.6678511499088,4.40554866396127,79.5618689635661
1950,12,77,10.8795849937177,13.1544111015851,4.097484634967,79.2785708663145
1951,14,91,11.129702973897,13.3559886651258,3.98489783526364,78.8497971860071
1952,19,91,12.6420754934638,12.4484070381197,4.28057338273775,78.4307917310304
1953,11,67,12.2613946281275,11.5847478061895,4.31579055530189,79.710349000861
1954,7,55,12.8298965487421,11.8126607383278,3.75241027361175,78.350553866418
1955,11,127,12.5195676927903,11.3467042770031,3.44022870807215,78.8146576181549
1956,15,108,13.4917899150125,11.9300376103364,3.82911759696104,77.7961390996364
1957,10,52,14.0589346346996,11.9658915868684,4.45167300765204,77.8156958141084
1958,15,69,15.3791891415925,12.6604833153944,4.52060195781111,75.7248509926166
1959,16,58,17.2099747797013,13.284372401779,5.07339257281289,74.0291524501353
1960,15,87,17.3756711522942,13.669504511049,5.60332241308756,74.008253808547
1961,3,37,16.6480204246435,14.1328249743695,5.70430251406766,74.2131840134772
1962,7,47,16.0494700388591,14.5092570529292,5.69027398940083,74.3183979484784
1963,11,39,17.2281918145958,14.6814728967869,6.37531034607898,73.3960864291519
1964,15,48,19.0804645418685,14.2951092604232,7.83364367941232,73.3885106715762
1965,15,77,20.162374757637,14.6724484566601,7.95942341149126,72.0550409916498
1966,17,62,21.515421352619,13.8122334028966,7.88773882367764,71.6757100478028
1967,7,37,21.484236321434,13.9733560640193,8.27755171349053,71.935585307678
1968,22,93,21.6759146758052,13.5292232916958,8.38040351339703,72.2207652983278
1969,11,47,21.2577195180649,13.6796268133392,8.15663242022021,72.2647858412479
1970,13,35,23.2478673013162,14.6451440547185,8.66566361890658,69.8181520153037
1971,9,48,24.3120564905054,14.83658549616,8.33345641169938,68.2922511144028
1972,22,58,26.6157982366536,13.7837608446559,8.769993462323,67.5182232347256
1973,12,24,28.7952854161407,13.8478634087585,9.57127551360505,66.3323257988282
1974,10,29,29.1185612782097,15.0116565122068,8.45776976647862,63.7317510861845
1975,17,37,31.7651039247523,15.0748365753868,9.28964059834945,61.8538992083326
1976,9,46,30.9796901800118,16.8770806146575,9.02316093495534,60.5705892504084
1977,10,42,31.4687506690723,17.366141103718,8.14800005979446,58.7173073971265
1978,21,44,33.8758865439501,17.8695624135909,8.51945656028322,56.3932604763054
1979,20,44,36.0809155574898,18.4401620267437,9.01752232430643,54.1156976136361
1980,24,62,36.2375975851395,18.3756458977115,7.75024121831565,52.7562506090278
1981,19,60,37.5292642518062,17.4589792310448,8.04190788498232,52.5479172756945
1982,22,55,37.7361608035303,18.2332739018912,8.27074801037417,51.9679799716193
1983,15,41,36.3946973888962,18.131647885631,6.67521955508961,51.815540947229
1984,21,50,37.1464215268272,18.9178547821828,6.93039196888272,50.5327823265394
1985,13,28,37.1946840750898,18.0105188748469,6.29332633181708,50.7547900485471
1986,12,49,37.6871419277961,16.8303946512444,6.28001666012231,51.2250651150955
1987,21,42,40.3061895468437,15.1637279845777,7.4704928505985,51.4631603531907
1988,15,37,39.5875163281705,15.421713242563,7.37221275231841,51.8255682155986
1989,12,42,37.8992046398588,14.8156526365024,6.95013483024048,53.6978625878929
1990,18,36,39.0282368979233,13.4357243210902,7.34440006321539,54.3430238782155
1991,26,46,41.5137441443001,13.1386228718148,8.36613919365018,53.5096905448822
1992,19,41,42.1478904857635,12.7217714305731,7.76303498078987,52.4453889927757
1993,22,61,42.0959112774469,12.1539985397295,8.25883666011813,53.3970083450348
1994,13,33,41.8353052168408,10.1661197518507,7.65883666011814,55.0454931935197
1995,18,43,41.3784945856116,10.3820665957045,8.33989978304172,55.9674201038187
1996,22,46,43.712123689427,10.4752342975678,8.78799206343214,54.1927972111834
1997,14,32,43.087123689427,10.6984485832821,7.74632539676547,53.5529162588024
1998,30,46,45.5548087658077,10.1637834833996,7.15290589030249,51.0264767758412
1999,19,29,49.2493900465959,9.53159957535367,7.12827534843057,47.9394488612271
2000,26,57,48.8107935553678,10.3795527917279,6.74815838936624,46.9745365805253
2001,15,33,47.7040741877789,12.5402906046397,5.22641925893146,44.3987790047678
2002,28,45,49.2921500685377,12.2096672984066,4.73861438088268,42.8974239912176
2003,24,38,52.0013821651727,12.5720486616508,4.28132361297931,39.5324541896646
2004,17,32,53.3744882257788,14.1724274495296,4.59382361297931,36.8714693411797
2005,40,51,57.0315789690529,13.8304301855077,3.39455320714256,32.3571054560908
2006,41,51,60.2881859596752,13.2890832119356,2.93845772547163,29.1857499573696
2007,40,51,63.7563232145772,13.5280538001709,2.50953615684418,25.0497205456049
2008,35,42,65.5679174174757,13.3934782308128,2.76833532868683,23.6315010839071
2009,49,57,67.6126845076148,13.060749858157,2.25411875276426,21.4052457905012
2010,25,35,70.1941381417001,12.8000982290843,2.07868015627304,19.0844437854887
2011,37,48,73.3570169295788,11.0197951987813,2.07868015627304,17.7018680279129
2012,37,42,75.9443185168804,10.6070967860829,2.07868015627304,15.5272648533097
2013,40,49,77.7917943493187,10.4889442619153,1.55236436679935,13.2716257555654
2014,54,62,81.1889717686735,8.32160555223787,1.23986436679935,11.729287045888
2015,37,54,80.1976863656234,8.28892581367578,1.0437859354268,12.3719885709424
2016,31,39,80.1071886280668,8.0777644260438,1.10411776046451,12.7339795211687
2017,43,55,80.0822331913467,7.44674838326305,1.08985751091014,13.3756907511152
2018,26,38,78.5910051211713,8.07331479930316,0.613667034719666,13.5010040343232
2019,39,64,76.0882638931011,9.55906041333824,0.438228438228438,14.3425610518671
2020,43,55,76.7635885684258,8.59802145229928,0.438228438228438,14.6282753375814
2021,63,69,78.1856900177011,7.49294898853117,0.438228438228438,14.3112463520741
2022,39,43,78.4459336500378,7.01675851234069,0.438228438228438,14.5271931959279
2023,46,53,78.9619136269342,6.79727449231759,0.438228438228438,14.2306972390546
2024,23,28,78.4665219218651,6.15211320199501,0.438228438228438,15.3712502344463
