"id","link","label","name","comment","city","location_link","location","state","country","hesperomys_num_type_specimens","museum_city_latitude","museum_city_longitude"
1448,"http://hesperomys.com/c/1448","RSGU","Russian State Geological Prospecting University","NA","Moscow","http://hesperomys.com/r/732","Moscow","NA","Russia",1,"55.75","37.619999999999997"
865,"http://hesperomys.com/c/865","RSM","Royal Saskatchewan Museum","NA","Regina","http://hesperomys.com/r/489","Saskatchewan","NA","Canada",11,"50.45","-104.61"
1350,"http://hesperomys.com/c/1350","RT","Department of Biology, Yunnan University","NA","NA","http://hesperomys.com/r/298","Yunnan","NA","China",1,"NA","NA"
1351,"http://hesperomys.com/c/1351","RUMF","University Museum, University of the Ryukyus","NA","Nishihara","http://hesperomys.com/r/4395","Okinawa Prefecture","NA","Japan",1,"26.23","127.76"
1223,"http://hesperomys.com/c/1223","Rusconi collection","Collection of Carlos Rusconi","NA","Buenos Aires","http://hesperomys.com/r/345","Buenos Aires","NA","Argentina",23,"-34.61","-58.37"
1504,"http://hesperomys.com/c/1504","RWR","Palaeontology Division, Geological Survey of India, Western Region","NA","Jaipur","http://hesperomys.com/r/321","Rajasthan","Rajasthan","India",1,"26.92","75.8"
728,"http://hesperomys.com/c/728","SABAP","Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Sassari e Nuoro","NA","Nuoro","http://hesperomys.com/r/687","Sardinia","NA","Italy",5,"40.340000000000003","9.33"
403,"http://hesperomys.com/c/403","SAF","Sichuan Academy of Forestry","NA","NA","http://hesperomys.com/r/294","Sichuan","NA","China",19,"NA","NA"
1536,"http://hesperomys.com/c/1536","SAGS","Geological Survey of South Africa","NA","NA","http://hesperomys.com/r/162","South Africa","NA","South Africa",3,"NA","NA"
93,"http://hesperomys.com/c/93","SAMA","South Australian Museum","NA","Adelaide","http://hesperomys.com/r/252","South Australia","South Australia","Australia",93,"-34.93","138.6"
1284,"http://hesperomys.com/c/1284","Samos","Aegean Museum of Natural History","NA","Samos","http://hesperomys.com/r/4315","Samos","NA","Greece",1,"37.76","26.98"
